step,Sequence,Gain
0,"[1, 4, 2, 3]",0.023460875565050027
1,"[1, 2, 4, 3]",0.024026914151603296
2,"[1, 2, 3, 4]",0.021416675640123173
3,"[3, 2, 1, 4]",0.019389683310834627
4,"[4, 2, 1, 3]",0.02263024068370363
5,"[2, 4, 1, 3]",0.02267224460749309
6,"[3, 4, 1, 2]",0.017027250494334054
7,"[3, 4, 2, 1]",0.022198859864507287
8,"[4, 3, 2, 1]",0.022136458841426718
9,"[4, 2, 3, 1]",0.02259491714340399
10,"[3, 2, 4, 1]",0.023174335619097763
11,"[2, 3, 4, 1]",0.023648900711648213
12,"[2, 4, 3, 1]",0.02309124490966455
13,"[2, 1, 3, 4]",0.021319645990129393
