step,Sequence,Gain
0,"[4, 1, 3, 2]",0.017171105875204484
1,"[4, 1, 2, 3]",0.023021688809714655
2,"[4, 2, 1, 3]",0.02263024068370363
3,"[4, 2, 3, 1]",0.02259491714340399
4,"[1, 2, 3, 4]",0.021416675640123173
5,"[1, 2, 4, 3]",0.024026914151603296
6,"[3, 1, 4, 2]",0.017413889716857547
7,"[4, 3, 1, 2]",0.017103947617345433
8,"[1, 3, 2, 4]",0.02049130373152988
9,"[2, 3, 1, 4]",0.020330479434460702
10,"[2, 4, 1, 3]",0.02267224460749309
11,"[1, 4, 2, 3]",0.023460875565050027
12,"[2, 1, 4, 3]",0.02360460205945103
13,"[2, 1, 3, 4]",0.021319645990129393
