step,Sequence,Gain
0,"[3, 4, 1, 5, 2]",0.03829969890353044
1,"[3, 1, 4, 5, 2]",0.0393935404801522
2,"[3, 2, 4, 5, 1]",0.039836024729434705
3,"[4, 2, 3, 5, 1]",0.03856619047723761
4,"[5, 2, 3, 4, 1]",0.03983664534146812
5,"[5, 2, 4, 3, 1]",0.03921517393376146
6,"[5, 2, 1, 4, 3]",0.03633381679240534
7,"[4, 2, 5, 1, 3]",0.034138443504424826
8,"[2, 4, 5, 1, 3]",0.035222782529144125
9,"[5, 4, 2, 1, 3]",0.034240381288563895
10,"[5, 1, 2, 4, 3]",0.03640816271380977
11,"[1, 5, 2, 4, 3]",0.036444466357338695
12,"[1, 5, 3, 4, 2]",0.03930644210757234
13,"[1, 3, 4, 5, 2]",0.040037861005441155
14,"[4, 3, 2, 5, 1]",0.038156488389455595
15,"[4, 1, 2, 5, 3]",0.03531580473810653
16,"[4, 1, 3, 5, 2]",0.038124642745214266
17,"[4, 1, 3, 2, 5]",0.02980215805932318
18,"[4, 1, 2, 3, 5]",0.030182718145391363
19,"[4, 5, 2, 1, 3]",0.03321738830931939
20,"[5, 3, 2, 1, 4]",0.03067111677377897
21,"[4, 3, 2, 1, 5]",0.029286033699053193
22,"[3, 4, 2, 1, 5]",0.029880013759518625
23,"[3, 5, 2, 1, 4]",0.030280414977210734
24,"[1, 5, 2, 3, 4]",0.03169304012833274
25,"[4, 5, 2, 3, 1]",0.03697159469445377
26,"[3, 5, 2, 4, 1]",0.038775576127527744
27,"[3, 5, 1, 4, 2]",0.03826077127295194
28,"[5, 3, 1, 4, 2]",0.03885298629256477
29,"[5, 3, 4, 1, 2]",0.03772892740505866
30,"[4, 3, 5, 1, 2]",0.03651269404996654
31,"[4, 3, 1, 5, 2]",0.037644847723423636
32,"[3, 4, 1, 5, 2]",0.03829969890353044
33,"[3, 4, 5, 1, 2]",0.03715929684314534
34,"[3, 2, 5, 1, 4]",0.03121564673289412
35,"[5, 2, 1, 3, 4]",0.031529159691281464
36,"[5, 3, 1, 2, 4]",0.03074462207415264
37,"[3, 5, 1, 2, 4]",0.03035025390840837
38,"[3, 2, 1, 5, 4]",0.03229355035140899
39,"[1, 2, 3, 5, 4]",0.0333350844075154
40,"[1, 4, 3, 5, 2]",0.0394218912116957
41,"[4, 5, 3, 1, 2]",0.0359791740540753
