step,Sequence,Gain
0,"[3, 1, 5, 4, 2]",0.039335608949543105
1,"[3, 5, 1, 4, 2]",0.03826077127295194
2,"[3, 5, 2, 4, 1]",0.038775576127527744
3,"[1, 5, 2, 4, 3]",0.036444466357338695
4,"[1, 4, 2, 5, 3]",0.03656000298621137
5,"[3, 4, 2, 5, 1]",0.03881251307602274
6,"[2, 4, 3, 5, 1]",0.039711634046648264
7,"[2, 4, 1, 5, 3]",0.03634475123678521
8,"[3, 4, 1, 5, 2]",0.03829969890353044
9,"[4, 5, 1, 3, 2]",0.03645649367190171
10,"[4, 2, 1, 3, 5]",0.030112567596633832
11,"[3, 2, 1, 4, 5]",0.03184055030116936
12,"[3, 2, 1, 5, 4]",0.03229355035140899
13,"[5, 2, 1, 3, 4]",0.031529159691281464
14,"[2, 5, 1, 3, 4]",0.03149574375105982
15,"[2, 5, 1, 4, 3]",0.03623699922230017
16,"[2, 3, 1, 4, 5]",0.03228205011363
17,"[2, 1, 3, 4, 5]",0.03274284706017383
18,"[5, 1, 3, 4, 2]",0.03936221578492034
19,"[4, 1, 3, 5, 2]",0.038124642745214266
20,"[4, 1, 3, 2, 5]",0.02980215805932318
21,"[3, 1, 4, 2, 5]",0.03096040979190537
22,"[5, 1, 4, 2, 3]",0.03539142004824651
23,"[5, 1, 4, 3, 2]",0.03874063033739243
24,"[5, 1, 2, 3, 4]",0.031603673793836565
25,"[5, 4, 2, 3, 1]",0.03816704945905759
26,"[5, 4, 1, 3, 2]",0.037617932485883285
27,"[1, 4, 3, 5, 2]",0.0394218912116957
28,"[1, 2, 3, 5, 4]",0.0333350844075154
29,"[1, 2, 3, 4, 5]",0.03288166168319823
30,"[3, 2, 5, 4, 1]",0.03977811735763867
31,"[5, 3, 2, 4, 1]",0.03940184454006586
32,"[5, 3, 2, 1, 4]",0.03067111677377897
33,"[3, 5, 2, 1, 4]",0.030280414977210734
34,"[4, 5, 2, 1, 3]",0.03321738830931939
35,"[4, 1, 2, 5, 3]",0.03531580473810653
36,"[5, 1, 2, 4, 3]",0.03640816271380977
37,"[5, 3, 1, 4, 2]",0.03885298629256477
38,"[5, 2, 1, 4, 3]",0.03633381679240534
39,"[1, 2, 5, 4, 3]",0.03750919052747814
40,"[2, 1, 5, 4, 3]",0.03736199218118108
41,"[2, 4, 5, 1, 3]",0.035222782529144125
